title,cover,rating,director,actor,category,country,language,pub_date,duration
我和我的祖国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567998580.jpg,7.7,陈凯歌 / 张一白 / 管虎 / 薛晓路 / 徐峥 / 宁浩 / 文牧野,黄渤 / 张译 / 韩昊霖 / 杜江 / 葛优 / 刘昊然 / 宋佳 / 王千源 / 任素汐 / 吴京 / 朱一龙 / 王东 / 陈飞宇 / 佟丽娅 / 欧豪 / 张嘉益 / 惠英红 / 龚蓓苾 / 田壮壮 / 韩东君 / 辛柏青 / 周冬雨 / 任达华 / 江珊 / 王砚辉 / 耿乐 / 姜武 / 梁静 / 佟大为 / 魏晨 / 胡军 / 王天辰 / 彭昱畅 / 罗海琼 / 郭丞 / 周依然 / 樊雨洁 / 刘涛 / 马伊琍 / 张建亚 / 徐峥 / 王洛勇 / 高亚麟 / 王道铁 / 程禹森 / 马书良 / 景海鹏 / 陈冬 / 雷佳音 / 张子枫 / 陶虹 / 郭京飞 / 袁文康 / 贾晨飞 / 邵汶 / 张芝华 / 段博文 / 郎平,剧情, 中国大陆, 汉语普通话,2019-09-30(中国大陆),155分钟
哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg,9.1,克里斯·哥伦布,丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特 / 艾伦·瑞克曼 / 玛吉·史密斯 / 汤姆·费尔顿 / 伊恩·哈特 / 理查德·哈里斯 / 约翰·赫特 / 罗彼·考特拉尼 / 朱丽·沃特斯 / 邦妮·怀特 / 约翰·克里斯 / 肖恩·比格斯代夫,奇幻 / 冒险, 美国 / 英国, 英语,2002-01-26(中国大陆) / 2020-08-14(中国大陆重映) / 2001-11-04(英国首映) / 2001-11-16(美国),152分钟 / 159分钟(加长版)
釜山行 부산행,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg,8.6,延尚昊,孔刘 / 郑有美 / 马东锡 / 金秀安 / 金义城 / 崔宇植 / 安昭熙 / 崔奎华 / 郑锡勇 / 艺秀晶 / 朴明申 / 张赫镇 / 禹都临 / 沈恩京,动作 / 惊悚 / 灾难, 韩国, 韩语,2016-05-13(戛纳电影节) / 2016-07-20(韩国),118分钟
复仇者联盟4：终局之战 Avengers: Endgame,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2552058346.jpg,8.5,安东尼·罗素 / 乔·罗素,小罗伯特·唐尼 / 克里斯·埃文斯 / 马克·鲁弗洛 / 克里斯·海姆斯沃斯 / 乔什·布洛林 / 保罗·路德 / 凯伦·吉兰 / 杰瑞米·雷纳 / 斯嘉丽·约翰逊 / 唐·钱德尔 / 布丽·拉尔森 / 布莱德利·库珀 / 泰莎·汤普森 / 汤姆·赫兰德 / 伊丽莎白·奥尔森 / 本尼迪克特·康伯巴奇 / 蒂尔达·斯文顿 / 格温妮斯·帕特洛 / 蕾妮·罗素 / 约翰·斯拉特里 / 查德维克·博斯曼 / 安东尼·麦凯 / 塞巴斯蒂安·斯坦 / 克里斯·帕拉特 / 汤姆·希德勒斯顿 / 佐伊·索尔达娜 / 丹娜·奎里拉 / 本尼迪克特·王 / 庞·克莱门捷夫 / 戴夫·巴蒂斯塔 / 利蒂希娅·赖特 / 伊万杰琳·莉莉 / 乔恩·费儒 / 海莉·阿特维尔 / 娜塔莉·波特曼 / 玛丽莎·托梅 / 塔伊加·维迪提 / 安吉拉·贝塞特 / 迈克尔·道格拉斯 / 米歇尔·菲佛 / 威廉·赫特 / 寇碧·史莫德斯 / 肖恩·古恩 / 温斯顿·杜克 / 琳达·卡德里尼 / 马克斯米利亚诺·赫尔南德斯 / 弗兰克·格里罗 / 真田广之 / 汤姆-沃恩-劳勒 / 詹姆斯·达西 / 雅各布·巴特朗 / 范·迪塞尔 / 罗伯特·雷德福 / 塞缪尔·杰克逊 / 伊薇特·尼科尔·布朗 / 卡梅伦·布鲁姆布罗 / 蒂莫西·卡尔 / 凯瑞·康顿 / 迈克尔·A·库克 / 凯莉·库恩 / 艾玛·福尔曼 / 雷纳·加拉赫 / 丹妮拉·加斯基 / 郑肯 / 小弗洛伊德·安东尼·约翰 / 斯坦·李 / 罗斯·马昆德 / 布伦特·麦吉 / 迈克尔·皮耶里诺·米勒 / 卡兰·马尔韦 / 泰瑞·诺塔里 / 吉米·雷·皮肯斯 / 迈克尔·詹姆斯·肖 / 泰·辛普金斯 / 格雷格·蒂芬,剧情 / 动作 / 科幻 / 奇幻 / 冒险, 美国, 英语 / 日语 / 科萨语,2019-04-24(中国大陆) / 2019-04-26(美国),181分钟
楚门的世界 The Truman Show,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,9.3,彼得·威尔,金·凯瑞 / 劳拉·琳妮 / 艾德·哈里斯 / 诺亚·艾默里奇 / 娜塔莎·麦克艾霍恩,剧情 / 科幻, 美国, 英语,1998-06-05(美国),103分钟
神偷奶爸 Despicable Me,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg,8.6,皮埃尔·柯芬 / 克里斯·雷纳德,史蒂夫·卡瑞尔 / 杰森·席格尔 / 拉塞尔·布兰德 / 朱莉·安德鲁斯 / 威尔·阿奈特 / 克里斯汀·韦格 / 米兰达·卡斯格拉夫 / 达纳·盖尔 / 艾尔西·费舍尔 / 皮埃尔·柯芬 / 克里斯·雷纳德 / 杰梅奈·克莱门特 / 杰克·麦克布瑞尔 / 丹尼·麦克布莱德 / 敏迪·卡灵 / 罗布·许贝尔 / 肯·道里欧 / 郑肯,喜剧 / 动画 / 冒险, 美国 / 法国, 英语,2010-06-20(莫斯科电影节) / 2010-07-09(美国),95分钟
新神榜：哪吒重生,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2631711326.jpg,7.1,赵霁,杨天翔 / 张赫 / 宣晓鸣 / 李诗萌 / 朱可儿 / 凌振赫 / 刘若班 / 张遥函 / 张喆 / 高增志 / 郭浩然,动作 / 动画 / 奇幻, 中国大陆, 汉语普通话,2021-02-12(中国大陆),116分钟
三傻大闹宝莱坞 3 Idiots,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,9.2,拉吉库马尔·希拉尼,阿米尔·汗 / 卡琳娜·卡普尔 / 马达范 / 沙尔曼·乔希 / 奥米·瓦依达 / 博曼·伊拉尼 / 莫娜·辛格 / 拉杰夫·拉宾德拉纳特安,剧情 / 喜剧 / 爱情 / 歌舞, 印度, 印地语 / 乌尔都语 / 英语,2011-12-08(中国大陆) / 2009-12-25(印度),171分钟(印度)
唐人街探案2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2512717519.jpg,6.6,陈思诚,王宝强 / 刘昊然 / 肖央 / 刘承羽 / 尚语贤 / 王迅 / 妻夫木聪 / 迈克尔·皮特 / 白灵 / 元华 / 曾江 / 王成思 / 杨金赐 / 范湉湉 / 佟丽娅 / 陈思诚,喜剧 / 动作 / 悬疑, 中国大陆, 汉语普通话 / 英语 / 日语 / 粤语,2018-02-16(中国大陆),121分钟
蜘蛛侠：英雄远征 Spider-Man: Far from Home,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558293106.jpg,7.7,乔·沃茨,汤姆·赫兰德 / 赞达亚 / 杰克·吉伦哈尔 / 寇碧·史莫德斯 / 塞缪尔·杰克逊 / 乔恩·费儒 / 玛丽莎·托梅 / 雅各布·巴特朗 / 安格瑞·赖斯 / 马丁·斯塔尔 / 瑞米·许 / 纽曼·阿卡 / 托尼·雷沃罗利 / J·B·斯穆夫 / 赫米基·马德拉 / 戴维娜·西塔拉姆 / 约瑟夫·朗 / 露丝·霍洛克斯 / 希滕·珀泰尔 / 杰罗恩·凡·康宁斯伯格 / 列尼斯·德洛桑托斯 / 查利·蕾娅·埃斯奎尔 / 费斯·洛根 / J·K·西蒙斯 / 小罗伯特·唐尼,动作 / 科幻 / 冒险, 美国, 英语,2019-06-28(中国大陆) / 2019-07-02(美国),127分钟
